John,Dveloper,2023-09-01 08:00:00,2023-09-01 16:00:00
Alice,Manager,2023-09-01 09:30:00,2023-09-01 17:30:00
Bob,Technician,2023-09-01 12:00:00,2023-09-01 20:00:00
John,Dveloper,2023-09-02 08:30:00,2023-09-02 16:30:00
Alice,Manager,2023-09-02 10:00:00,2023-09-02 18:00:00
Bob,Technician,2023-09-02 13:30:00,2023-09-02 21:30:00
John,Dveloper,2023-09-03 08:45:00,2023-09-03 16:45:00
Alice,Manager,2023-09-03 09:15:00,2023-09-03 17:15:00
Bob,Technician,2023-09-03 12:45:00,2023-09-03 20:45:00
John,Dveloper,2023-09-04 07:45:00,2023-09-04 15:45:00
Alice,Manager,2023-09-04 09:00:00,2023-09-04 17:00:00
Bob,Technician,2023-09-04 12:15:00,2023-09-04 20:15:00
John,Dveloper,2023-09-05 08:15:00,2023-09-05 16:15:00
Alice,Manager,2023-09-05 09:45:00,2023-09-05 17:45:00
Bob,Technician,2023-09-05 11:30:00,2023-09-05 19:30:00
John,Dveloper,2023-09-06 08:30:00,2023-09-06 16:30:00
Alice,Manager,2023-09-06 10:15:00,2023-09-06 18:15:00
Bob,Technician,2023-09-06 12:45:00,2023-09-06 20:45:00
John,Dveloper,2023-09-07 09:00:00,2023-09-07 17:00:00
Alice,Manager,2023-09-07 10:30:00,2023-09-07 18:30:00
Bob,Technician,2023-09-07 13:00:00,2023-09-07 21:00:00
